Name,Neighboorhood,Population,Percentage of Population between 16 and 64 years,ForeingPopulation,Unemployes,Household average net rent,Metro,
Betahaus | Coworking Barcelona,Gràcia,123.000,0.666,0.224,0.051,23.868,1
OneCoWork Plaça Catalunya | Barcelona Coworking,Ciutat Vella,45.671,0.749,0.51,0.083,12.512,5
OneCoWork Catedral | Barcelona Coworking,Ciutat Vella,45.671,0.749,0.51,0.083,12.512,5
Coworking space Camaleó,Ciutat Vella,45.671,0.749,0.51,0.083,12.512,3
La Vaca Coworking Barcelon,Sants-Montjuic,40.157,0.63,0.34,0.05,0,2
